"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@Odie1941","Patrick Lucy","@MattWalshBlog Buy a $50 drone & crash into it.","1","0","2","1587386684000","20 Apr 2020","Odie1941/status/1252216632094740482","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@SaveAslave","SaveAslave","Iran shows off drones that can reach Israel, threat increases - The Jerusalem Post https://t.co/xjy3RMVhnU","0","0","0","1587387388000","20 Apr 2020","SaveAslave/status/1252219583085371393","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@TheThir3dEye","fail.beast","@TheSun What a waste of time and money. UV kills the viruses where those drones are flying. Unless they are flying indoors.","0","0","0","1587387547000","20 Apr 2020","TheThir3dEye/status/1252220251246178310","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@FACTUALOPINION0","FACTUAL OPINIONS OF DRED","""I MISS OBAMA, PLEASE COME BACK"" Obama is Hillary Clinton with a tan & a dikk... he's no saviour & was a puppet for corporatism, alphabet activities & war. He's drones more civilians than you or I could count & bombed countless black & brown countries.... Get off his dikk sheep","0","3","3","1587386766000","20 Apr 2020","FACTUALOPINION0/status/1252216973108412416","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@homanclature","Chris Homan","@MattWalshBlog “These drones were donated by a Chinese company” (out of the goodness of their hearts)","0","0","5","1587386651000","20 Apr 2020","homanclature/status/1252216491203866630","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@ICTRoom24","OBHS Computing","Why not sign up to Amazon's Future Engineer’s virtual coding programme to access 20 hours of content which includes flying drones, designing smart cities and creating chat bots! https://t.co/9UFgnuRXCl #HomeLearningUK","0","1","1","1587386419000","20 Apr 2020","ICTRoom24/status/1252215518523768837","https://twitter.com/search?lang=en&q=drone&src=typed_query","HomeLearningUK"
"@unmannednews2","unmannednews","UAVOS TO CONDUCT SEARCH AND RESCUE MARITIME UAV DEMONSTRATIONS https://t.co/rz4fywPybN #uav #drone #drones #rescue #uavs","0","0","0","1587385812000","20 Apr 2020","unmannednews2/status/1252212972052787202","https://twitter.com/search?lang=en&q=drone&src=typed_query","uav | drone | drones | rescue | uavs"
"@MayWeDieInThe","Lagnis (Terrier)","@JohnWordsworth And, what is cooler? Thor shouting to Iron Man to deal with Ultron while he flies up into the sky with lightning flashing everywhere to battle the drones, or two quiet players sitting at a table while Thor and Iron Man double teams some small Ultron drone? There is a happy medium","0","0","0","1587386219000","20 Apr 2020","MayWeDieInThe/status/1252214680803782656","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@izzetcapa","Izzet Capa","Sultanbeyli'de vatandaşlar, özel harekat polislerine drone ile çikolata gönderdi. https://t.co/8mLrua8pIE","11","43","309","1587382241000","20 Apr 2020","izzetcapa/status/1252197993568231431","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@jeje_re_007","jeje007","@mompontet Cela fait 2 mois que l’on voit arriver cette vague mortelle. ici ds cet Ehpad le drame se joue depuis 3 semaines. je pense à ces drones qui repèrent ceux qui trichent av le confinement ils ne voient pas nos ainés qui tendent leur solitude oubliée vers un verre d’eau Honte à vous","0","0","1","1587385889000","20 Apr 2020","jeje_re_007/status/1252213297232973825","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@ultaslanmustafa","Mustafa EVİNDEKALTÜRKIYE","@cnnturk Üşengeçlikte benim kadar level atlayan yok suyu bile drone ile alıyorum","0","0","1","1587386430000","20 Apr 2020","ultaslanmustafa/status/1252215563776069632","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@defendressofsan","Hello 2020","Baltimore PD Wants 24-Hour HD Surveillance Drones to Enforce Social Distancing https://t.co/QFp1EBefNF","0","0","0","1587387206000","20 Apr 2020","defendressofsan/status/1252218818417422336","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@ebizimoarabina","Ebizimo","@megastarng @wabote_simbi @officialncdmb @MicroSmooth @erefitei @LayefaBraye @Seiyefa_ @kemelayefa @GovDiriDouye @endi4tim @Zuwairat This is not a drone shot","0","0","0","1587386335000","20 Apr 2020","ebizimoarabina/status/1252215166214844416","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@dronechris75","Chris Drone","With no good answer for his lost month of coronavirus preparation, Trump snaps at another female reporter https://t.co/Os1WVDZ3m0","0","0","0","1587386574000","20 Apr 2020","dronechris75/status/1252216170977124352","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@BakkenShale","Black Gold Trading #Oil #NaturalGas #Futures ⛽️","Drones for #COVID19 $DFLYF Draganfly Inc. Driving The Future Of Drones Since The PreDrone Era https://t.co/W20ricCsXi $FSLR $CSIQ $TSL $SPWR $CAFD $EIX $SO $SOL $YGE $JKS $YGE $HQCL $GE $PLUG $FCEL $BLDP $CPST $KNDI $CLNE $PEIX $GEVO $AMRS $ADM $DD $DOW $RUN $WWR $OROCF $ALB","0","0","1","1587387016000","20 Apr 2020","BakkenShale/status/1252218024049901569","https://twitter.com/search?lang=en&q=drone&src=typed_query","COVID19"
"@askifatech","Askifa Tech 🇳🇬 #staysafe","Ghana is using delivery drones from U.S.-based startup @zipline to enable it to test people more quickly outside major cities for the novel COVID-19 Ghana has tested over 60,000 people for COVID-19 (d 2nd highest in Africa) with 1,042 confirmed cases, 99 recoveries and 9 deaths. https://t.co/6UrMDjP7bP","0","0","0","1587387694000","20 Apr 2020","askifatech/status/1252220865250562056","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@kipkemboierick1","cannon bae","@Kang4Nature @evogeian @dw_environment @kwskenya @lizwathuti @MajiAgri @patriciakombo @WHOKenya @CCF_Kenya @ChdKenya @conservationall @WWF @EstherNgumbi @conservation_dk @Min_TourismKE @TBEi2 use drones to survey","0","0","1","1587387718000","20 Apr 2020","kipkemboierick1/status/1252220966039511041","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Unseriouslyy","APPRESYATE","@Pagal_aurat Drone se ghum ke aya mai abi","0","0","1","1587387417000","20 Apr 2020","Unseriouslyy/status/1252219707131924481","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@dronechris75","Chris Drone","Even Trump’s best lackey can’t defend him https://t.co/Ox2sTgDKSM","0","0","0","1587386679000","20 Apr 2020","dronechris75/status/1252216611043512325","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Bhima_Jenkins","Bhima Jenkins","@Akam1129 @AFSUnidentified The show is pretty bad, though I'll watch it all the way through. They don't do a whole lot of repeatable data gathering. Like the pro drone guy had only 1 drone and 1 controller with him. Who goes on a job with no backups??","0","0","0","1587386860000","20 Apr 2020","Bhima_Jenkins/status/1252217370401107968","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Gazetadocerrado","Gazeta do Cerrado","Aeronave desaparecida partiu mesmo de Dianópolis: drone avistou destroços e piloto ficou preso às ferragens https://t.co/H7wki6iSxW https://t.co/RYOvDbojzr","0","0","3","1587387105000","20 Apr 2020","Gazetadocerrado/status/1252218398043508736","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@2xwide_dreaming","Double-Wide Dreaming⭐️⭐️⭐️","@LNA2019M Out of Curiosity: How many Turkish drones have y’all shot down, in total?","1","0","0","1587387501000","20 Apr 2020","2xwide_dreaming/status/1252220058266415105","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@drone_jim","Drone_Master_Jim","@cal_beu Ol troll sat on his seat o' stone and munched and mumbled a bare old bone for meat was hard to come by..","0","0","0","1587386391000","20 Apr 2020","drone_jim/status/1252215400089243648","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Wavy_Gene","Geneeee","Liberia rl gonna allow China to use drones over the entire country to “create a map” I swear we don’t fucking learn. They already finessing Africa out of everything they have now y’all gonna allow them hoe ass niggas to accurately pin point where everything at?!","0","0","0","1587386072000","20 Apr 2020","Wavy_Gene/status/1252214065952415753","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@FLXJosh","Josh Durso","He says a command center has been established in Himrod. Marine patrols from Yates and Seneca counties, multiple fire departments, New York State Police, and drones from Yates and Seneca County are all actively involved in the search.","0","0","4","1587385991000","20 Apr 2020","FLXJosh/status/1252213724410232844","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Padrouga","Hélène jacquelyne φ","Confinement et surveillance massive : l’Etat commande 650 drones pour un montant de 4 millions d’euros - Le courrier du soir https://t.co/M35SR71Ki6","0","30","17","1587304139000","19 Apr 2020","Padrouga/status/1251870411173879810","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@MasterAirscrew","masterairscrew","Thanks for trying our STEALTH props, Dennis! We are so glad you like them. https://t.co/yXNgQTWPJx #masterairscrew #prop #propeller #stealth #dji #mavic #mavic2 #noise #upgrade #drone #quad #quadcopter #multirotor #aerialphotography https://t.co/NXZLNjSvT0","0","1","1","1587387517000","20 Apr 2020","MasterAirscrew/status/1252220122670026752","https://twitter.com/search?lang=en&q=drone&src=typed_query","masterairscrew | prop | propeller | stealth | dji | mavic | mavic2 | noise | upgrade | drone | quad | quadcopter | multirotor | aerialphotography"
"@HackneyedAbbort","HackneyedAbbort 病毒 武漢市","@Exiledathome @rileybrewer1 @MarcherLord1 A very small drone. And a very skilled drone flyer. https://t.co/ymqVgh4xw7","0","0","0","1587386682000","20 Apr 2020","HackneyedAbbort/status/1252216624180015104","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@MiguelAmpell","Miguel Angel De La C","La unidad de drones de la Policía Foral muestra cómo utilizan esta herramienta de vigilancia #dron #drone #dronepilot #UAS #PRL #prevenciónriesgoslaborales #saludocupacional #seguridadsalud #droneuropa #Ampell #Coronavirus #covid19 https://t.co/uJh1ADO6v5","0","0","0","1587387010000","20 Apr 2020","MiguelAmpell/status/1252217997533609985","https://twitter.com/search?lang=en&q=drone&src=typed_query","dron | drone | dronepilot | UAS | PRL | prevenciónriesgoslaborales | saludocupacional | seguridadsalud | droneuropa | Ampell | Coronavirus | covid19"
"@__KIMDRONE","🥀 DRONE",".อ้าปากรอ https://t.co/F6Q0yQs9ry","0","0","0","1587387316000","20 Apr 2020","__KIMDRONE/status/1252219282009624577","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@BillionDrone","Billionaire Drone","@revrrlewis This is the same motivation behind everyone in this sphere: Sell hate to Rubes.","0","0","0","1587387603000","20 Apr 2020","BillionDrone/status/1252220483442892800","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
