"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@LoveNique_xo","𝐍 𝐈 𝐐 𝐔 𝐄💎🌸","After Covd-19 it is time for marriage and making babies. One thing I’m learning from this pandemic is that life is to short and it isn’t promised to anyone, it doesn’t matter how good of a person you are.","0","1","2","1587310221000","19 Apr 2020","LoveNique_xo/status/1251895920028979200","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@BD007Marky","Global Agenda","New post @beforeitsnews : Dr. Fauci: How a Corrupt and Mad Scientist Locked Down Earth in 30 Days and a Gates Vaccine Will Be Here in September 2020 https://t.co/vRp3UySYfk #Oxford #Influenza #Deception #Coronavirus #COVD19","0","1","0","1587351209000","20 Apr 2020","BD007Marky/status/1252067837184823297","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","Oxford | Influenza | Deception | Coronavirus | COVD19"
"@indoinsidenews","Berita Indonesia Inside","Pemerintah terus melakukan penambahan jumlah #laboratorium aktif., sampai saat ini sudah ada 35 laboratorium pemeriksaan #Covd19. https://t.co/gBLJIleXXz via @indoinsidenews","0","0","0","1587347542000","20 Apr 2020","indoinsidenews/status/1252052458248912897","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","laboratorium | Covd19"
"@VernaPolitics","Verna Smith","@UWO_Gen_Sx_PD @drchrysopoulo Tht might just be the case. Most health screenings off n most hospitals..as Covd-19 rages.","0","0","1","1587306575000","19 Apr 2020","VernaPolitics/status/1251880629588934657","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@carlbildt","Carl Bildt","Lady Gaga on the global online concert Global Citizen to mobilize support for the efforts to fight COVD19. https://t.co/7yIz00MH4x","3","2","47","1587327002000","19 Apr 2020","carlbildt/status/1251966306036985856","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@News18India","News18 India","अपने मास्क को ऐसे करें साफ https://t.co/euDZb9fPzW","7","55","279","1587234971000","18 Apr 2020","News18India/status/1251580300729040897","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@SARVESH85488187","SARVESH YADAV","I am Home enjoy COVD19 dour kar rah hu me https://t.co/Q1BeFkGJk0","0","0","0","1587361407000","20 Apr 2020","SARVESH85488187/status/1252110612596953088","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@yelnur1291","El Nur","Read nice book about crazy man and super virus! I'm still tweeting this until u read the book @BillGates and @StephenKing day 111 https://t.co/QnJq5Hu3Eh #coronarvirus #WuhanCoronavirus #apocalipse #Covid_19 #CoronavirusPandemic #CoronaVirusUpdate #COVD19 #Freebooks","0","0","0","1587326192000","19 Apr 2020","yelnur1291/status/1251962909988655107","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","coronarvirus | WuhanCoronavirus | apocalipse | Covid_19 | CoronavirusPandemic | CoronaVirusUpdate | COVD19 | Freebooks"
"@WalkingSoccer2","Walking Soccer","My COVD19 experience by Mark Fisher https://t.co/c7VIWu22SN #walkingfootball #worldwidewalkingfootball #walkingfutbol #walkingsoccer","0","0","0","1587306061000","19 Apr 2020","WalkingSoccer2/status/1251878474953814022","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","walkingfootball | worldwidewalkingfootball | walkingfutbol | walkingsoccer"
"@242Autre","L'autre 242","#COVD19. 20 Avril. Remise du lot de matériel de l'OMS au gouvernement du Congo. La Ministre de la santé a remercié l'OMS à travers son Représentant au Congo, Dr Lucien Manga, ""car l’OMS est à nos côtés, dans toutes les équipes et dans toutes les batailles"", a indiqué la Ministre. https://t.co/xyWmP7MZgz","0","1","0","1587381061000","20 Apr 2020","242Autre/status/1252193044369215491","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","COVD19"
"@CovdW3","COVD - 19★we will win !!","《三密》 もう三密の段階は終わってる。 【三密＝危険】 【三密でなければ＝安全】 そりゃ三密避けて公園･江ノ島サーフィン･買い物… 当たり前だわな 【外出＝危険】教えてあげなきゃ。","0","0","0","1587354386000","20 Apr 2020","CovdW3/status/1252081163289546753","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@popcon5k","popcon","Could farts transmit COVID-19? | WION https://t.co/fFAfXfVLP1 #COVID #COVD19 #coronavirusindia #IndiaFightsCorona #ChinaVirus #WuhanVirus","0","0","0","1587381119000","20 Apr 2020","popcon5k/status/1252193288993402880","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","COVID | COVD19 | coronavirusindia | IndiaFightsCorona | ChinaVirus | WuhanVirus"
"@rodrigogondim_","Professor Rodrigo Gondim","Caro @BoletimCoppolla, o número de mortes pela COVD-19 nos EUA ultrapassaram os número de pessoas que morrem engasgadas. https://t.co/lF3wDXGkMk","0","0","0","1587327413000","19 Apr 2020","rodrigogondim_/status/1251968028872511496","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Therealcp85","Therealcp","@PMOIndia @SriRamya21 @narendramodi They need of hour is resuce NRIs atleast open inlt flights for those negative for Covd-19 can fly ,most countries have rapid test kits at airports- let the fee of test inculde in airfare , airline should be responsible for test fee, @HardeepSPuri your same like MMS ,","0","0","0","1587322502000","19 Apr 2020","Therealcp85/status/1251947431572406277","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@WhatsappVarsity","Whatsapp University 🎓","@WaniYasmeen1 @AadilHasanAdv1 @Ludhiana_Police @NitishKumar @DGPPunjabPolice @PunjabPoliceInd @kbssidhu1961 @CMOPb Jaani.. Bihar govt is paying 1k to each person who struck outside of its state under covd-19 crisis. access this link ad fill online form wid account number and adhar card .. https://t.co/Am2mBHbo8P","1","0","1","1587330126000","19 Apr 2020","WhatsappVarsity/status/1251979407276871682","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@ClayTravis","Clay Travis","Additional Boston study: 36% of homeless people tested were positive, all but one of those people was asymptomatic. Meaning they weren’t sick enough to know they had it: https://t.co/6G3lZqpyRu","45","284","835","1587313273000","19 Apr 2020","ClayTravis/status/1251908723670474752","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@TomosiRolo","Rolo Tomosi","@natalie_allison Covd-19 is the new snake handling. It's truly a sign of their faith and of god's grace for these people. Rhetorically they are implying of course that people that died of the virus lacked faith or Grace or both.","0","0","0","1587328973000","19 Apr 2020","TomosiRolo/status/1251974574549295105","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@DanielleCoradi3","Danielle Coradini","@jdoriajr @jdoriajr. Desses 900 e poucos mortos, quantos o senhor mandou forjar?? Quantos o senhor deu ordens para que fosse declarado covd_19?? Larga a mão de ser safado.. Tua hora ta chegando.. Basta!! Gazela traidora!!💚💙💛","0","0","0","1587313876000","19 Apr 2020","DanielleCoradi3/status/1251911253834039300","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
